Order_date,number_of_pallet,Nb_of_colli,Workload(hrs),Total_number_of_pallet,Number_of_orders,order_freq,day,month,week,quarter
2022-07-01,492.0,5707.0,598.54,606.0,8661,high,1,7,26,3
2022-07-04,610.0,2700.0,488.54,664.0,4171,high,4,7,27,3
2022-07-05,495.0,2277.0,414.1,541.0,5750,high,5,7,27,3
2022-07-06,256.0,1686.0,238.81,290.0,2420,medium,6,7,27,3
2022-07-07,129.0,1852.0,188.58,166.0,3002,medium,7,7,27,3
2022-07-08,486.0,2388.0,396.11,534.0,3436,medium,8,7,27,3
2022-07-11,240.0,2180.0,261.29,284.0,2886,medium,11,7,28,3
2022-07-12,224.0,1650.0,223.7,257.0,2968,medium,12,7,28,3
2022-07-13,204.0,1657.0,211.53,237.0,2313,medium,13,7,28,3
2022-07-14,249.0,2026.0,249.89,290.0,2029,medium,14,7,28,3
2022-07-15,535.0,1412.0,370.39,563.0,2853,medium,15,7,28,3
2022-07-18,272.0,2680.0,306.11,326.0,3273,medium,18,7,29,3
2022-07-19,186.0,2857.0,264.77,243.0,3266,medium,19,7,29,3
2022-07-20,59.0,1825.0,149.72,96.0,2955,medium,20,7,29,3
2022-07-22,55.0,628.0,69.3,68.0,784,low,22,7,29,3
2022-07-25,1176.0,2055.0,740.05,1217.0,3608,high,25,7,30,3
2022-07-26,129.0,1811.0,184.35,165.0,3069,medium,26,7,30,3
2022-07-28,133.0,1589.0,168.25,165.0,2717,medium,28,7,30,3
2022-07-29,770.0,2373.0,543.02,817.0,3421,medium,29,7,30,3
2022-08-01,1168.0,2345.0,747.72,1215.0,2655,medium,1,8,31,3
2022-08-02,779.0,2201.0,548.04,823.0,5073,high,2,8,31,3
2022-08-03,203.0,1229.0,181.18,228.0,1726,medium,3,8,31,3
2022-08-04,136.0,2146.0,207.68,179.0,3072,medium,4,8,31,3
2022-08-05,416.0,2177.0,348.71,460.0,3213,medium,5,8,31,3
2022-08-08,1711.0,2868.0,1060.36,1768.0,3247,medium,8,8,32,3
2022-08-10,96.0,1383.0,138.15,124.0,1898,medium,10,8,32,3
2022-08-11,200.0,2089.0,246.81,242.0,4312,high,11,8,32,3
2022-08-12,392.0,2208.0,345.64,436.0,4861,high,12,8,32,3
2022-08-16,867.0,2128.0,582.99,910.0,3770,high,16,8,33,3
2022-08-17,466.0,1364.0,337.29,493.0,4323,high,17,8,33,3
2022-08-19,474.0,1778.0,358.83,510.0,3374,medium,19,8,33,3
2022-08-22,243.0,1686.0,237.03,277.0,2912,medium,22,8,34,3
2022-08-23,210.0,1923.0,232.35,248.0,3111,medium,23,8,34,3
2022-08-24,76.0,1522.0,132.52,106.0,1872,medium,24,8,34,3
2022-08-25,228.0,2001.0,237.21,268.0,2156,medium,25,8,34,3
2022-08-26,682.0,1849.0,472.84,719.0,3690,high,26,8,34,3
2022-08-29,509.0,2044.0,394.64,550.0,3010,medium,29,8,35,3
2022-08-30,161.0,2251.0,227.71,206.0,3453,medium,30,8,35,3
2022-08-31,1235.0,3298.0,855.48,1301.0,7354,high,31,8,35,3
2022-09-01,92.0,4164.0,300.45,175.0,4681,high,1,9,35,3
2022-09-02,672.0,4500.0,662.06,762.0,6194,high,2,9,35,3
2022-09-05,334.0,1924.0,302.86,372.0,2874,medium,5,9,36,3
2022-09-06,796.0,2045.0,550.75,837.0,4047,high,6,9,36,3
2022-09-07,141.0,1292.0,155.22,167.0,1889,medium,7,9,36,3
2022-09-08,155.0,1863.0,198.43,192.0,2684,medium,8,9,36,3
2022-09-09,258.0,2095.0,275.19,300.0,3807,high,9,9,36,3
2022-09-12,830.0,2546.0,592.26,881.0,4087,high,12,9,37,3
2022-09-13,315.0,1461.0,257.71,344.0,2502,medium,13,9,37,3
2022-09-14,57.0,1727.0,142.51,92.0,2733,medium,14,9,37,3
2022-09-16,521.0,2655.0,438.47,574.0,3425,medium,16,9,37,3
2022-09-19,352.0,2878.0,367.29,410.0,3777,high,19,9,38,3
2022-09-20,530.0,1405.0,370.34,558.0,2871,medium,20,9,38,3
2022-09-21,348.0,2009.0,308.14,388.0,2838,medium,21,9,38,3
2022-09-22,352.0,2879.0,359.78,410.0,4111,high,22,9,38,3
2022-09-23,320.0,2431.0,320.42,369.0,3958,high,23,9,38,3
2022-09-26,1267.0,2182.0,811.54,1311.0,5938,high,26,9,39,3
2022-09-27,119.0,1624.0,167.23,151.0,2510,medium,27,9,39,3
2022-09-28,70.0,1636.0,138.12,103.0,1947,medium,28,9,39,3
2022-09-29,175.0,1434.0,180.36,204.0,2037,medium,29,9,39,3
2022-09-30,207.0,2565.0,276.64,258.0,5025,high,30,9,39,3
2022-10-03,790.0,2670.0,585.37,843.0,3593,low,3,10,40,4
2022-10-04,309.0,2452.0,310.15,358.0,2801,medium,4,10,40,4
2022-10-05,755.0,1998.0,520.68,795.0,2707,medium,5,10,40,4
2022-10-06,28.0,2112.0,151.49,70.0,2880,medium,6,10,40,4
