Order_date,T_Nb_of_pallets,Nb_of_colli,Time(hrs),Total_Nb_Pallet,Number_of_orders,Order_frequency,Month,Day,Week,Quarter
03-01-2023,47.0,3358.0,264.0,114.0,817,high,1,3,1,1
06-01-2023,470.0,2451.0,436.37,519.0,536,medium,1,6,1,1
07-01-2022,279.0,5757.0,517.05,394.0,406,medium,1,7,1,1
12-01-2022,220.0,2540.0,297.98,271.0,523,medium,1,12,2,1
01-02-2023,323.0,3396.0,413.7,391.0,809,high,2,1,5,1
02-02-2023,150.0,2782.0,279.96,206.0,1067,high,2,2,5,1
03-02-2023,241.0,1696.0,253.66,275.0,784,high,2,3,5,1
06-02-2023,246.0,1872.0,273.98,283.0,1014,high,2,6,6,1
08-02-2022,224.0,2201.0,274.62,268.0,8,low,2,8,6,1
09-02-2022,246.0,4543.0,502.98,337.0,3,low,2,9,6,1
11-02-2022,161.0,3050.0,296.07,222.0,2,low,2,11,6,1
01-03-2023,148.0,2026.0,230.3,189.0,950,high,3,1,9,1
02-03-2023,209.0,2180.0,268.18,253.0,638,high,3,2,9,1
03-03-2023,185.0,1917.0,234.58,223.0,724,high,3,3,9,1
04-03-2023,200.0,3148.0,341.03,263.0,3,low,3,4,9,1
07-03-2023,270.0,3867.0,414.37,347.0,1027,high,3,7,10,1
08-03-2022,112.0,1229.0,141.37,137.0,15,low,3,8,10,1
10-03-2022,234.0,2670.0,324.75,287.0,8,low,3,10,10,1
11-03-2022,101.0,2197.0,210.76,145.0,8,low,3,11,10,1
01-04-2023,224.0,1510.0,235.88,254.0,123,low,4,1,13,2
04-04-2023,106.0,2187.0,214.24,150.0,819,high,4,4,14,2
05-04-2023,161.0,2106.0,239.36,203.0,725,high,4,5,14,2
07-04-2022,165.0,2736.0,280.36,220.0,6,low,4,7,14,2
07-04-2023,113.0,1897.0,205.18,151.0,757,high,4,7,14,2
08-04-2022,136.0,2146.0,225.45,179.0,20,low,4,8,14,2
01-05-2023,129.0,1852.0,207.93,166.0,200,low,5,1,18,2
05-05-2023,159.0,1577.0,206.0,191.0,532,medium,5,5,18,2
06-05-2023,321.0,2090.0,337.39,363.0,238,low,5,6,18,2
